id_lotto,id_pa,id_be,object,id_award_procedure,amount,start_date,id_lsf,id_forma_giuridica,cpv,n_winners
159923,1690708,16686,390754,Appalto n. 27/2016. servizio di guardiania dei centri di raccolta gestiti da etra nel territorio di comuni vari della provincia di Padova e Vicenza.,1,1565123.48,2016-11-02,2,176,90,4
159964,7867017,11990,94699,SERVIZI SCOLASTICI: DETERMINAZIONE A CONTRARRE PER L'AFFIDAMENTO MEDIANTE PROCEDURA APERTA DEL SERVIZIO DI TRASPORTO SCOLASTICO DEGLI ALUNNI DELLE SCUOLE DEL TERRITORIO ANNI SCOLASTICI 2018/2019 - 2019/2020 - 2020/2021 - CIG 75024555B8,1,479000.0,2018-09-01,2,15,60,1
159985,1812776,5899,118030,LP_2016_56 – CONSOLIDAMENTO DI UN TRATTO DI STRADA IN CONTRA’ MENEGHETTI A VALROVINA,1,105699.64,2017-11-23,1,15,45,1
160011,13973108,11346,250673,"INTEGRAZIONI RETTE ASILI NIDO ""COLLODI"" E ""CASA DEI FOLLETTI"" - PERIODO OTTOBRE/DICEMRBE 2018.",1,31360.0,2018-12-27,2,15,80,1
160141,10907526,6994,96591,FORNITURA ARREDO ESTERNO PER ASILO NIDO - CIG Z232486474,1,1400.0,2018-09-11,3,15,39,1
160328,7438639,6994,96710,AGGIUDICAZIONE MASSA VESTIARIO ESTIVA POLIZIA LOCALE  - CIG Z4D1E2896C,1,4500.0,2017-05-23,3,15,18,1
160373,2540200,13081,87729,"Proroga tecnica del Contratto di Appalto Repertorio n. 131156 del 28.06.2017 relativo al servizio di consegna, ritiro e spedizione della corrispondenza comunale nelle more dell'aggiudicazione definitiva della Gara n. 11/20209 ai sensi dell'art. 106 c",1,491803.28,2017-04-18,2,15,79,1
160477,2619045,6246,320773,Affidamento del servizio di sostegno socio educativo 2016-2017- 2018,1,100648.0,2016-09-28,2,15,85,1
160633,4536545,3644,337000,BANDO PER LA CONCESSIONE PER LA GESTIONE DEL SERVIZIO DI TESORERIA per il periodo 01.07.2017 - 30.06.2022,1,7500.0,2017-07-01,2,145,66,1
160690,18997275,21403,94753,Compenso per docenza su progetto 5.1  Noi e la scienza per scuola prim. Bonferraro,1,750.0,2016-02-27,2,103,80,1
160776,8314740,32890,291840,Componenti elettronici,1,960.0,2017-10-25,3,124,31,1
160969,8904899,13719,92944,POLIZZA ALL RISK - DANNI DIRETTI E INDIRETTI E DANNI DA INTERRUZIONE DI ESERCIZIO,1,1120000.0,2017-03-31,2,176,66,1
161066,3455262,13118,102356,"BANDO N. 20/16 - PROCEDURA APERTA PER L'APPALTO DEI LAVORI DI MANUTENZIONE STRAORDINARIA CAMPI GIOCO E AREE VERDI COMUNALI ANNO 2015, INDETTA CON DETERMINAZIONE DEL DIRIGENTE DIREZIONE STRADE GIARDINI ARREDO URBANO N. 1248 IN DATA 11/03/2016",1,141500.0,2016-10-03,1,15,45,1
161240,16190554,21602,254822,ESPERTO ESTERNO MODULO 3 LETTORI IN GIOCO PROGETTO PON - BIZZAI GIACOMO,1,2100.0,2018-04-18,2,103,22,1
161280,3654575,626,281356,FORNITURA DI RICAMBI MERCEDES ORIGINALI O EQUIVALENTI,1,820000.0,2018-09-26,3,176,34,1
161459,13765222,6994,96475,FORNITURA MATERASSI PER ASILO NIDO - CIG Z2124A7659,1,600.0,2018-09-13,3,15,37,1
161508,2688322,8008,86925,SERVIZI ASSICURATIVI COMUNE DI ESTE PERIODO 2017/2019 - POLIZZA R.C. PATRIMONIALE,1,117000.0,2016-12-31,2,15,66,1
161549,4171667,2374,125955,"FORNITURA DA GROSSISTI DI SPECIALITÀ MEDICINALI, MEDICINALI EQUIVALENTI, FARMACI DA BANCO, PRODOTTI FARMACEUTICI, PARAFARMACEUTICI E DISPOSITIVI MEDICI PER LE FARMACIE AGEC. LOTTO 1",1,15000000.0,2016-08-01,3,66,33,1
161550,13110947,25602,93285,FT 134-FE - 050318 - Noleggio 1 Pullman per Bologna (150317),1,500.0,2018-03-08,2,90,60,1
161649,3751635,32906,84552,"PROCEDURA APERTA - ART.60 D.LGS. 50/2016 - APP. CPT 1701 FORNITURA DI STRUMENTAZIONI SCIENTIFICHE PER IL CENTRO PIATTAFORME TECNOLOGICHE DELL’UNIVERSITA’ DI VERONA. IMPORTO TOTALE A BASE D’ASTA € 717.800,00 IVA ESCLUSA (“Oneri per la sicurezza per r",1,250000.0,2017-11-08,3,124,38,1
161769,4232170,15362,380562,TRASPORTO E RECUPERO IN UN IMPIANTO AUTORIZZATO DI 6.000 (SEIMILA) T/ANNO DI VEGETALE (CER 20 02 01) DI QUALITÀ PREVISTA DAL DGRV 568 DEL 2005,1,135050.0,2018-07-10,2,176,90,4
161788,5817669,582,89127,Accordo Quadro fornitura di sacconi con liner,1,68400.0,2017-12-13,3,176,37,1
162025,693243,3026,93596,SERVIZIO TAXI  MESE DI APRILE,1,90.0,2018-06-08,2,176,60,1
162079,14274250,16272,86325,FORNITURA DI SACCHI IN MATERIALE BIODEGRADABILE E COMPOSTABILE PER LA RACCOLTA DEL RIFIUTO ORGANICO DOMESTICO,1,100000.0,2018-11-12,3,154,19,1
162089,4856557,2997,86668,"Servizio Approvvigionamenti - Estensione del contratto in atto del lotto 1) aggiudicato con delibera n. 766 del 12/11/2012 in oggetto ``Servizio Approvvigionamenti - Aggiudicazione gara europea a procedura aperta, in modalita` telematica, per l'affid",1,10579200.0,2018-12-04,3,135,33,1
162156,4917493,2372,92944,SERVIZI ASSICURATIVI AGS - POLIZZA RCT/O,1,224175.0,2016-03-21,2,176,66,3
162157,4917493,2372,90871,SERVIZI ASSICURATIVI AGS - POLIZZA RCT/O,1,224175.0,2016-03-21,2,176,66,3
162165,15845676,13764,191062,SERVIZIO DI MANUTENZIONE N. 2 FLAUTI E N. 1 OTTAVINO,1,1000.0,2018-05-09,2,93,50,1
162394,5184158,18765,334507,PROCEDURA APERTA PER LAFFIDAMENTO DELLORGANIZZAZIONE E DELLA GESTIONE DEL SERVIZIO SOCIO-SANITARIO-ASSISTENZIALE E SERVIZIO INFERMIERISTICO DEL CENTRO SERVIZIO RESIDENZIALE PER ANZIANI IPAB VILLA SERENA ,1,2452040.0,2017-07-01,2,146,85,3
162395,5184158,18765,240632,PROCEDURA APERTA PER LAFFIDAMENTO DELLORGANIZZAZIONE E DELLA GESTIONE DEL SERVIZIO SOCIO-SANITARIO-ASSISTENZIALE E SERVIZIO INFERMIERISTICO DEL CENTRO SERVIZIO RESIDENZIALE PER ANZIANI IPAB VILLA SERENA ,1,2452040.0,2017-07-01,2,146,85,3
162516,14703994,2435,284303,MERCAPTO-ACETIL-TRIGLICINA CON TC99M - LOTTO 20 - ID 15F195,1,51200.0,2016-11-25,3,139,33,1
162885,5952649,8008,92944,SERVIZI ASSICURATIVI COMUNE DI ESTE PERIODO 2017/2019 - POLIZZA ALL RISKS/INCENDIO,1,455000.0,2016-12-31,2,15,66,1
162958,2372805,6907,334258,"PROCEDURA APERTA PER L'AFFIDAMENTO DEI SERVIZI DI ARCHITETTURA E INGEGNERIA RELATIVI ALLA PROGETTAZIONE DEFINITIVA ED ESECUTIVA, COORDINAMENTO SICUREZZA IN FASE DI PROGETTAZIONE E DI ESECUZIONE, DIREZIONE LAVORI DELL'OPERA 'REALIZZAZIONE DELL'ISOLA DELLO SPORT (AREA EX ACQUAPARK) - 1^ STRALCIO - 1^ LOTTO' (COSTRUZIONE DI UNA PALESTRA ALL'INTERNO DI UNA STRUTTURA ALLO STATO GREZZO).",1,91061.5,2017-11-29,2,15,71,3
163051,6226983,2223,92587,LOTTO 8. PAVIMENTAZIONI 2015: AUTOSTRADA A4 DAL KM 342+000 AL KM 338+700 CARREGGIATA OVEST.,1,1971848.2,2016-05-20,1,176,45,1
163250,275142797,13164,310387,"Affidamento di servizi socio-educativi per la prima infanzia sul territorio comunale - Asilo Nido ""Villaggio del Sole",1,319000.0,2016-09-01,2,15,80,1
163497,887809142,1701956,85101,SERVIZIO TRASPORTO SCOLASTICO COMUNE DI CASTELGOMBERTO ANNI 2017/18 - 2018/19 - 2019/20,1,224090.0,2017-09-07,2,13,60,4
163498,887809142,1701956,99976,SERVIZIO TRASPORTO SCOLASTICO COMUNE DI CASTELGOMBERTO ANNI 2017/18 - 2018/19 - 2019/20,1,224090.0,2017-09-07,2,13,60,4
163499,887809142,1701956,101221,SERVIZIO TRASPORTO SCOLASTICO COMUNE DI CASTELGOMBERTO ANNI 2017/18 - 2018/19 - 2019/20,1,224090.0,2017-09-07,2,13,60,4
163500,887809142,1701956,128456,SERVIZIO TRASPORTO SCOLASTICO COMUNE DI CASTELGOMBERTO ANNI 2017/18 - 2018/19 - 2019/20,1,224090.0,2017-09-07,2,13,60,4
163518,15388453,12124,623154,"APPROVAZIONE VERBALE DI AGGIUDICAZIONE PER L'AFFIDAMENTO DEL NUOVO PROGETTO ""M.A.S."" PER IL PERIODO 1/11/2016 - 31/12/2018, EVENTUALMENTE RINNOVABILE PER UGUALE PERIODO",1,7765.53,2016-08-01,2,15,85,1
163693,6901093,591,285879,SOSTITUZIONE E FORNITURA DI MASSE FILTRANTI CARBONI ATTIVI E RIPRISTINO FUNZIONALITÀ MASSE FILTRATI,1,350150.0,2018-09-15,3,157,45,2
163754,6170702,968,87285,Servizio di outsourcing della gestione operativa integrata delle funzioni amministrative concernenti il personale dell'AVEPA,1,1240800.0,2016-07-01,2,3,72,1
163798,7147923,29981,111073,Aggiudicazione appalto lavori manutenzione straordinaria da effettuarsi nei fabbricati di competenza provinciale opere edili ed affini,1,570000.0,2018-08-24,1,18,45,1
163996,2148061,31568,3261,SUBAFFIDAMENTO SERVIZI TPL - LOTTO4 VALDAGNO/RECOARO -TPl Urbano e linee universitarie,1,2282320.0,2018-06-10,2,157,60,1
164013,3674718,31649,307967,Fornitura assciugamani elettrici,1,3000.0,2018-03-30,3,154,31,1
164075,18383417,1347685,112256,COMUNE DI SANTA LUCIA DI PIAVE,1,1413478.0,2016-09-01,2,13,55,1
164115,7608302,33031,255996,Procedura aperta per l'affidamento di un accordo quadro avente ad oggetto l'esecuzione dei servizi di pulizia dei terminal ed uffici in concessione a Venezia Terminal Passeggeri S.p.A.,1,315000.0,2018-01-01,2,176,90,2
164116,7594611,33034,96500,314-17/BOM Fornitura di coagulante inorganico a base di alluminio cloruro solfato impiegato nei processi di trattamento delle acque reflue,1,1168500.0,2017-11-20,3,176,24,1
164263,7329943,2435,85053,KIT PROCEDURALI RADIOLOGIA LOTTO 1 ID 15P052-3,1,158900.0,2018-03-08,3,139,33,1
164302,1862775,25602,93285,FT 546-FE - 141118 - Noleggio Pullman per Bosco Chiesanuova (BoscoPark - 051018),1,350.0,2018-11-21,2,90,60,1
164323,7832509,2987,85485,"sistemi infusionali (comprensiva di pompe in comodato d’uso gratuito e relative docking station) , per il periodo di 36 mesi.",1,465000.0,2016-11-17,3,135,33,1
164469,8038424,31568,94699,Subaffidamento servizi TPL settore extraurbano di Vicenza esercizio invernale 2018/2019 Lotto 4 Noventa,1,137979.0,2018-09-10,2,157,60,1
166066,11083662,22343,84502,Noleggio Fotocopiatori,1,3800.0,2018-10-11,3,103,30,1
166315,6398904,16272,120051,"SERVIZI DI RITIRO, TRATTAMENTO, RECUPERO E/O SMALTIMENTO FRAZIONI UMIDO ORGANICO E VERDE - BARICENTRO LENDINARA (RO)",1,707370.0,2016-08-16,2,154,90,1
166351,7766011,14707,110308,Soggiorno a Capo Verde 2016,1,38750.0,2016-11-09,2,75,55,1
166684,8662800,16272,870237,COPERTURA RCA/CVT E RISCHI ACCESSORI VEICOLI DELL'ENTE,1,1280000.0,2018-09-01,2,154,66,1
166874,18406851,5378,322487,Procedura aperta per affidamento servizio trasporto scolastico riservato a Cooperative Sociali di tipo B) per il periodo 1.9.2017- 31.8.2018.,1,159530.0,2017-11-01,2,15,60,1
166949,1312264,32990,167506,OA18000080 SERVIZIO CONDUZIONE RICICLERIA OVEST,1,180000.0,2017-12-01,2,154,98,1
167508,18311581,35402,97629,GARA CRAS NUTRIZIONALI II - LOTTO 18 SUPPLEMENTO NUTRIZIONALE ORALE LIQUIDO SENZA LIPIDI,1,350.0,2016-07-01,3,135,33,1
167589,345450,2435,259956,"ID 14D011.1 - fornitura a noleggio di un sistema diagnostico per analisi in UHPLC-MS/MS per la U.O.C. Medicina di Laboratorio dell'Azienda Ospedaliera di Padova, per il periodo di 36 mesi con opzione di ulteriori 24 - assegnazione gara mediante proce",1,400000.0,2017-12-06,3,139,33,1
167999,11822681,22816,86001,ASSICURAZIONE SCOLASTICA A.S. 2015/16,1,8390.5,2016-01-26,2,103,66,1
168273,5191463,6994,87001,POLIZZA DI RESPONSABILITA' CIVILE VERSO TERZI ED OPERATORI - PROROGA TECNICA DAL 1/6/2017 AL 30/9/2017 DITTA RAPPRESENTANTE GENERALE DEI LLOYD'S PER L'ITALIA DI MILANO IN NOME E PER CONTO LEADER KILN - CIG 609763793A,1,340434.78,2017-05-31,2,15,66,1
168830,14746806,31568,3261,Subaffidamento servizi TPL settore extraurbano di Vicenza esercizio invernale 2018/2019 Lotto 6 Valdagno,1,131911.0,2018-09-10,2,157,60,2
168831,14746806,31568,100658,Subaffidamento servizi TPL settore extraurbano di Vicenza esercizio invernale 2018/2019 Lotto 6 Valdagno,1,131911.0,2018-09-10,2,157,60,2
168862,9319839,1132,85861,RESPONSABILITA CIVILE VERSO TERZI E PRESTATORI DOPERA - INFORTUNI AMMINISTRATORI E PERSONALE DIRIGENTE - CORPI VEICOLI TERRESTRI A PERCORRENZA CHILOMETRICA,1,47000.0,2017-06-30,2,154,66,1
168907,9727837,16272,97678,FORNITURA DI N. 1 AUTOSPAZZATRICE DA 4 MC,1,140000.0,2018-09-06,3,154,34,1
169136,1108057,2950,337000,Affidamento servizio di cassa per l'Ater di Venezia per il prossimo triennio in Provincia di Venezia,1,93940.5,2017-07-01,2,67,66,1
169345,12702977,33063,340515,TRONCO 55 - SP 246 RECORO (RECOARO VLLI DEL PASUBIO)/SP 46 PASUBIO (TRATO VALLI DEL PASUBIO - SCHIO),1,102000.0,2018-11-01,2,176,90,1
169729,714342993,10796,96381,PTC2017 - REALIZZAZIONE DELLA NUOVA MENSA SCOLASTICA NELL'AREA RETROSTANTE LA SCUOLA ELEMENTARE DI CA' TIEPOLO,1,398255.04,2018-04-03,1,15,45,1
169829,3927707,35124,91704,Lotto 2 - Fornitura di gasolio per autotrazione,1,315051.64,2018-11-05,3,75,9,1
170312,9796806,31610,320759,SERVIZI DI PULIZIA DEL TERRITORIO E PULIZIA UFFICI SEDE - PERIODO 01/03/2018 - 28/02/2021 - LOTTO 7 SVUOTAMENTO CESTINI PRESSO IL COMUNE DI ISOLA VICENTINA,1,19253.52,2018-03-01,2,176,90,1
170325,103684,31568,783540,sostituzione n. 8 serbatoi gpl su autobus Man - lotto n. 3,1,15050.0,2017-04-05,2,157,51,1
170536,15799898,32214,393250,AGGIUDICAZIONE DEL SERVIZIO DI SOSTEGNO SOCIO-EDUCATIVO A DOMICILIO PER MINORI - PERIODO 11.09.2017-10.09.2018,1,10000.0,2017-09-11,2,20,85,1
170866,8697103,969,92944,Coperture assicurative Agenzia Veneta per l'Innovazione periodo 30.9.2018-30.9.2023: contratto polizza TUTELA LEGALE,1,60000.0,2018-09-30,2,3,66,1
171494,4979440,26454,89049,Pagamento Fattura n.416/PA del 30/03/2017-ACCESSORI BAGNI PALESTRA NUOVA,1,1500.0,2017-06-09,3,90,39,1
171907,9253230,2435,89037,FORNITURA DI PRODODTTI RADIOATTIVI IN VITRO E SERVICE DI STRUMENTAZIONE PER LA U.O.C. MEDICINA DI LABORATORIO DELLAZIENDA OSPEDALIERA DI PADOVA PER IL PERIODO DI 36 MESI - ID 15F134,1,372250.0,2016-01-01,3,139,33,1
172277,12959327,12487,392130,Rilegatura registri di Stato Civile,1,146.4,2016-02-19,3,15,22,1
172720,11966308,13719,341283,"Servizio di prelievo e contazione valori, gestione casse automatiche, approvvigionamento banconote e moneta",1,755356.95,2017-11-30,2,176,63,2
173212,5450218,25560,668813,ACQUISTO MATERIALE INFORMATICO,1,4000.0,2017-12-18,3,90,30,1
173380,14890024,8389,86460,ACQUISTO TARGA CON ASTUCCIO RICONOSCIMENTO FAVORE CITTADINA,1,60.0,2018-08-07,3,15,37,1
174374,17074195,33063,112291,TRONCO 2 - SP 64 FIORENTINI (DA ARSIERO A LOC. RESTELE)/TRONCO PARZIALE DA TONEZZA A LOC. RESTELE,1,303000.0,2018-11-01,2,176,90,1
174426,4206303,979,96626,"Fornitura in via d'urgenza di n. 1 (uno) nuovo autoveicolo per la raccolta di rifiuti solidi urbani con compattatore, di volume pari a 10 (dieci) mc su autotelaio con PTT 12.000 Kg, tipo IVECO EUROCARGO 120 o equivalente, n. 2 assi.",1,100000.0,2017-07-06,3,154,34,1
174930,3467732,4554,126843,L'ACQUISTO DELLA MACCHINA OPERATRICE PROFESSIONALE,1,150000.0,2018-05-21,3,14,34,1
174991,12121876,6208,92944,LOTTO 5 - POLIZZA INFORTUNI CUMULATIVA,1,8750.0,2018-05-01,2,15,66,1
175075,2061097,12796,92944,SERVIZIO DI COPERTURA ASSICURATIVA DEI RISCHI DELL’ENTE  - LOTTIO N° 1,1,750000.0,2016-02-28,2,15,66,1
175302,3697270,5899,314282,LP_2017_43_MESSA A NORMA DELL'EDIFICIO DELL'ASILO NIDO DI VIA CHINI ,1,181359.0,2018-05-30,1,15,45,1
175967,5245633,14707,93398,SOGGIORNO A PESARO 2016,1,29508.0,2016-06-18,2,75,63,1
176096,15726460,7330,105318,IMPEGNO DI SPESA A FAVORE DELLA DITTA CABI BROKER PER LA COPERTURA ASSICURATIVA ANNO 2016,1,15000.0,2016-08-23,2,15,66,1
176149,13273295,3499,92944,POLIZZA ALL RISKS PATRIMONIO,1,40759.32,2016-04-01,2,28,66,1
176216,7720786,2188,100619,APPALTO DEI LAVORI RELATIVI ALLA RISTRUTTURAZIONE DEL FABBRICATO 365 A PORTO MARGHERA,1,1417420.75,2016-03-14,1,4,45,1
176691,10816478,2435,96136,"Catetere a palloncino  non  compliante per PTA, ad alta pressione (RBP fino a 14 ATM),tecnica over the wire, diametro del palloncino da 12 a 25  mm, a spalla corta e basso profilo, compatibile con guida da 0.035'.",1,30000.0,2017-05-01,3,139,33,1
176808,18399913,10052,92944,Servizi assicurativi del Comune 31/12/2016 - 31/12/2019  Polizza Tutela Legale e Peritale,1,42144.31,2016-12-31,2,15,66,1
177187,16159782,29438,89187,TRADUZIONE ITALIANO -INGLESE TESTO PER BROCHURE,1,80.0,2017-03-23,2,66,79,1
177214,7112789,16272,243081,SERVIZI ASSICURATIVI COPERTURA RC AMBIENTALE LOTTO 8,1,50360.0,2018-09-01,2,154,66,1
177268,9051426,31176,86431,"SETTORI SPECIALI - BANDO DI GARA PER LA SELEZIONE DEGLI INCARICHI:LOTTO 2 Medico competente, sorveglianaza sanitaria ai sensi del D.Lgs. 81/08 e assistenza al datore di lavoro in materia di sicurezza e salute lavoratori",1,166200.0,2018-01-01,2,176,71,1
177503,9429193,12796,98828,Realizzazione fase finale del processo partecipativo “Forum” avviato dal Comune.,1,13908.0,2016-05-20,2,15,39,1
177556,9903883,3026,85794,Fornitura di apparecchiature self-service TVM,1,1550000.0,2018-01-09,3,176,30,1
177692,20077257,36257,90912,Servizio di Approvvigionamento presso l’industria privata di grassi ed oli lubrificanti per il servizio della motorizzazione – Lt. 5.000 (FLUIDO IDRAULICO H 540),1,31000.0,2018-12-18,3,130,24,1
177991,5161841,25911,105464,Fornitura in accordo quadro di arredi da ufficio per l`IZSVe (Lotto 2)tipodoc=CNT anno=2019 numdoc=11 protdoc=CNT,1,1172133.56,2018-09-26,3,143,39,1
178293,4810155,2985,95155,Procedura aperta per la fornitura di un sistema polifunzionale per radiologia digitale da destinare all'Unita` Operativa Complessa di Radiologia del Presidio Ospedaliero di rete di Feltre nell'ambito dell'allestimento della nuova piastra servizi,1,620000.0,2017-07-21,3,135,33,1
178402,5594299,2997,92400,Servizio Approvvigionamenti - Procedura aperta per l'aggiudicazione dell'Appalto Specifico per l'affidamento della fornitura di prodotti farmaceutici ``in concorrenza`` (n. 121 Lotti) nell'ambito del Sistema Dinamico di Acquisizione della Pubblica Am,1,29050.0,2016-07-01,3,135,33,1
179211,1244169,9234,126908,AFFIDAMENTO SERVIZIO TRASPORTO SCOLASTICO A.S. 2018-2019 E PRESA D&#39;ATTO DETERMINA STAZIONE APPALTANTE CITTA&#39; METROPOLITANA DI VENEZIA,1,332391.57,2018-09-13,2,15,60,1
179524,9145335,32990,103001,TRASPORTO E SMALTIMENTO RSU,1,846000.0,2016-10-01,2,154,90,1
179622,18366152,35402,97629,GARA CRAS NUTRIZIONALI II - LOTTO 5 FORMULA PER NUTRIZIONE ENTERALE (PER SONDA) IPERPROTEICA IPERCALORICA SENZA FIBRA,1,6500.0,2016-07-01,3,135,15,1
180044,14797287,10047,93649,"PROCEDURA APERTA PER L'AFFIDAMENTO, IN GESTIONE COMPLETA, DEL SERVIZIO DI RISTORAZIONE ALLA SCUOLA DELL'INFANZIA STATALE E LA FORNITURA DI DERRATE ALIMENTARI ALL'ASILO NIDO COMUNALE DEL COMUNE DI OCCHIOBELLO PER IL PERIODO DI TRE ANNI.",1,557662.0,2016-01-01,2,15,55,1
180349,18099777,32890,85464,AMPLIFICATORE UNIPOLARE AD ALTA VELOCITÀ,1,4400.0,2018-11-26,3,124,32,1
180447,8200943,32890,91759,Componenti elettronici consumabili,1,388.0,2017-10-30,3,124,31,1
180481,13333262,22976,158549,LABORATORIO TEATRALE,1,403.0,2016-02-02,1,103,92,1
180935,4716698,2404,94768,LOTTO 2 - SERVIZI ASSICURATIVI - Polizza tutela legale,1,62500.0,2017-06-01,2,176,66,1
180948,4517905,31568,85861,Affidamento copertura assicurativa della responsabilità civile derivante dalla circolazione dei veicoli a motore e corpi veicoli terrestri,1,2500000.0,2016-07-01,2,157,66,1
181170,15065084,2435,92249,"CATETERE A PALLONCINO PER PTCA A ELUZIONE DI FARMACO, AMPIA GAMMA DI CALIBRI E MISURE",1,32700.0,2017-05-01,3,139,33,1
181602,1609268,2435,310271,Fornitura dei servizi assicurativi: INTEGRAZIONE appendice n. 00001 polizza Infortuni n. 371085381 - CIG n. 7255797918 per l'Azienda Ospedaliera di Padova - inserimento conducenti auto mediche SUEM.,1,32000.0,2018-01-31,2,139,66,1
181809,17548860,910,95651,"Fornitura quadriennale, in diciassette lotti, di materiali d'uso e prodotti di consumo da laboratorio ambientale: soluzioni  standard per AAS- ICP (assorbimento atomico) (Lotto 15)",1,70225.0,2018-04-01,3,2,24,1
182136,18023898,23610,356055,IMPONIBILE FATTURA PER LA GESTIONE DEI CORSI DI LETTORATO MADRELINGUA INGLESE  NELLE CLASSI QUINTE TINTORETTO E GORETTI (N. 30 ORE),1,900.0,2016-01-01,2,103,80,1
182176,5937537,35402,96459,GARA CRAS NUTRIZIONALI II - LOTTO 9 FORMULA POLIMERICA PER NUTRIZIONE ENTERALE NORMOCALORICA CON FIBRA (7-12 ANNI),1,32000.0,2016-07-01,3,135,33,1
183333,12764711,910,168003,"Fornitura quadriennale, in diciassette lotti, di materiali d'uso e prodotti di consumo da laboratorio ambientale: materiale consumabile per tecniche analitiche cromatografiche (Lotto 2)",1,728750.0,2018-04-01,3,2,38,1
183433,8785669,2997,92194,Servizio Approvvigionamenti - Procedura aperta per l'aggiudicazione dell'Appalto Specifico per l'affidamento della fornitura di prodotti farmaceutici ``in concorrenza`` (n. 121 Lotti) nell'ambito del Sistema Dinamico di Acquisizione della Pubblica Am,1,33285.0,2016-07-01,3,135,33,1
183473,16550063,10805,86228,CONCESSIONE DEL SERVIZIO DI GESTIONE DELLA SOSTA A PAGAMENTO,1,179223.54,2016-01-01,2,15,98,1
183760,4743236,9698,86835,CONCESSIONE DEL SERVIZIO DI TESORERIA 01.01.2016-31.12.2020 (COMPRESA PROROGA FINO AL 2025),1,23870.0,2016-01-01,2,15,66,1
183798,7858285,2188,90741,"APPALTO DEL SERVIZIO ATTINENTE ALL'URBANISTICA RELATIVO ALLA REDAZIONE DEL PIANO REGOLATORE PORTUALE DI VENEZIA, COMPRENSIVO DEL DOCUMENTO PRELIMINARE DI PIANO E DELLA VALUTAZIONE AMBIENTALE STRATEGICA. CIG 6382172EEE CUP F72I15001300005",1,375000.0,2016-04-07,2,4,71,4
183825,177043,26454,92962,Pagamento Fattura n.2017/1700039/F7 del 20/04/2017-SALDO VIAGGIO di ISTRUZIONE MILANO 20/21 apr. 2017 - TERZE I.T.T.,1,7000.0,2017-05-03,2,90,63,1
183861,900443,15362,98519,FORNITURA DI N. 1 AUTOMEZZO CABINATO CON PIANALE RIBALTABILE. LOTTO N. 3,1,54570.0,2017-09-06,3,176,34,1
184025,10558941,2997,87907,Servizio Approvvigionamenti - Procedura aperta per l'aggiudicazione dell'Appalto Specifico per l'affidamento della fornitura di prodotti farmaceutici ``in concorrenza`` (n. 121 Lotti) nell'ambito del Sistema Dinamico di Acquisizione della Pubblica Am,1,5425.0,2016-07-01,3,135,33,1
185029,14261642,25560,500357,ACQUISTO PC - TABLET - SOFTWARE,1,22000.0,2016-06-17,3,90,48,1
185262,13935007,25602,93285,FT 200-FE - 070418 - Noleggio 1 Pullman per Sirmione-Lazise (090318) - Progetto ERASMUS PLUS KA2 INNOVATIVE,1,363.64,2018-04-12,2,90,60,1
185788,11155965,13118,187381,INDIZIONE DI PROCEDURA APERTA PER IL SERVIZIO DI BROKERAGGIO ASSICURATIVO DEL COMUNE DI VERONA PER ANNI 4.,1,394640.0,2016-09-29,2,15,66,1
185856,1976670,2997,331918,Servizio Approvvigionamenti - Procedura aperta per l'aggiudicazione dell'Appalto Specifico per l'affidamento della fornitura di prodotti farmaceutici ``in concorrenza`` (n. 121 Lotti) nell'ambito del Sistema Dinamico di Acquisizione della Pubblica Am,1,1995.0,2016-07-01,3,135,33,1
186079,7008471,2435,267322,AB MONOCLONALI ANTI-GRANULOCITI DA MARCARE CON TC99M - LOTTO 11 - ID 15F195,1,24900.0,2016-11-25,3,139,33,1
186632,8865171,31568,3261,SUBAFFIDAMENTO SERVIZI DI T.P.L. LOTTO 2 SCHIO  EXTRAURBANO,1,108264.5,2017-09-13,2,157,60,2
186633,8865171,31568,100658,SUBAFFIDAMENTO SERVIZI DI T.P.L. LOTTO 2 SCHIO  EXTRAURBANO,1,108264.5,2017-09-13,2,157,60,2
186829,3128188,582,249760,"Gestione in concessione del servizio denominato ""case dell'acqua",1,549480.0,2018-05-29,2,176,42,1
187125,4215311,2998,86790,LOTTO 4: PACEMAKER BICAMERALE RATE-RESPONSIVE (DDD-R) COMPRENSIVO DI RELATIVI ELETTROCATETERI,1,62000.0,2016-01-01,3,135,33,1
187344,8576199,2988,86924,Fornitura materiale di comsumo per apparecchiature per interventi al segmento anteriore e posteriore e di custom pack(CNT 2016/CNT / 00000716),1,1189707.1,2016-07-20,3,135,33,1
187699,11763336,5328,126017,"POTENZIAMENTO DEL SERVIZIO EDUCATIVO PRESSO IL NIDO D'INFANZIA ""PRATI COLORATI"" PER L'A. S. 2018 - 2019.",1,34188.0,2018-08-29,2,15,80,1
187804,14157786,29981,87001,PROCEDURA APERTA PER L'AFFIDAMENTO DEI SERVIZI ASSICURATIVI DELLA PROVINCIA DI PADOVA PER 3 ANNI - 6 LOTTI.,1,34500.0,2017-05-19,2,18,66,2
187841,11438257,2985,95155,"Fornitura di sistemi analitici per esecuzione degli esami di area ematologia, microbiologia, Immunologia, Urine-Proteine-Microscopia chimica, Chimica clinica, Immunometria, per il Dipartimento di Medicina di Laboratorio, sedi ospedaliere di Belluno",1,130000.0,2018-03-29,3,135,33,1
